('DAI_USDT', 'FRAX_USDT', 'DAI_FRAX')
('USDC_WETH', 'DAI_WETH', 'DAI_USDC')
('USDT_KOIN', 'WETH_KOIN', 'WETH_USDT')
('DAI_USDC', 'USDC_USDS', 'DAI_USDS')
('DAI_SNX', 'DAI_USDC', 'USDC_SNX')
('DAI_FRAX', 'FRAX_USDT', 'DAI_USDT')
('FRAX_UST', 'USDC_UST', 'FRAX_USDC')
('WETH_COW', 'USDC_WETH', 'USDC_COW')
('WBTC_DAI', 'DAI_MKR', 'WBTC_MKR')
('USDC_SLP', 'WETH_SLP', 'USDC_WETH')
('WETH_PASS', 'USDC_PASS', 'USDC_WETH')
('WBTC_WETH', 'WETH_renBTC', 'WBTC_renBTC')
('USDC_WETH', 'WETH_CRV', 'USDC_CRV')
('USDC_WETH', 'WETH_SLP', 'USDC_SLP')
('WETH_USDT', 'DAI_USDT', 'DAI_WETH')
('WETH_USDT', 'USDT_KOIN', 'WETH_KOIN')
('WETH_PASS', 'USDC_WETH', 'USDC_PASS')
('WETH_ICSA', 'USDC_WETH', 'USDC_ICSA')
('WETH_SAITO', 'USDT_SAITO', 'WETH_USDT')
('WETH_USDT', 'USDT_TRU', 'WETH_TRU')
('WETH_EURT', 'WBTC_EURT', 'WBTC_WETH')
('WETH_USDT', 'USDT_ONDO', 'WETH_ONDO')
('USDT_AVINOC', 'WETH_AVINOC', 'WETH_USDT')
('WETH_PAS', 'USDC_PAS', 'USDC_WETH')
('WETH_USDT', 'WETH_AVINOC', 'USDT_AVINOC')
('WETH_EIGEN', 'USDC_EIGEN', 'USDC_WETH')
('USDT_COW', 'USDC_COW', 'USDC_USDT')
('USDC_WETH', 'WETH_PAS', 'USDC_PAS')
('USDC_USDT', 'WBTC_USDT', 'WBTC_USDC')
('USDC_USDT', 'FRAX_USDT', 'FRAX_USDC')
('WETH_cbBTC', 'WBTC_WETH', 'WBTC_cbBTC')
('WBTC_USDC', 'USDC_WETH', 'WBTC_WETH')
('USDT_ETHFI', 'WETH_ETHFI', 'WETH_USDT')
('USDC_cbBTC', 'WBTC_cbBTC', 'WBTC_USDC')
('USDC_COW', 'USDC_WETH', 'WETH_COW')
('USDC_WETH', 'WETH_AVAIL', 'USDC_AVAIL')
('DAI_WETH', 'WBTC_DAI', 'WBTC_WETH')
('WETH_ONDO', 'USDC_ONDO', 'USDC_WETH')
('USDC_EIGEN', 'USDC_WETH', 'WETH_EIGEN')
('USDC_AMP', 'WETH_AMP', 'USDC_WETH')
('FRAX_USDT', 'FRAX_USDC', 'USDC_USDT')
('WBTC_CRV', 'WETH_CRV', 'WBTC_WETH')
